epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,100.073,0.69905,0.77928,0.99867,0.54834,0.067044,0.000332889,0.000332889
2,198.035,0.51606,0.84241,0.9995,0.37662,0.0340396,0.000661825,0.000661825
3,295.885,0.46699,0.8664,0.99983,0.32399,0.00103081,0.000986361,0.000986361
4,394.368,0.45302,0.84141,0.9995,0.36781,0.0009802,0.0009802,0.0009802
5,492.685,0.42121,0.86257,0.99967,0.3409,0.0009736,0.0009736,0.0009736
6,590.965,0.41348,0.85424,0.99983,0.34868,0.000967,0.000967,0.000967
7,689.198,0.40784,0.8614,1,0.33883,0.0009604,0.0009604,0.0009604
8,787.36,0.39065,0.84908,0.99983,0.34454,0.0009538,0.0009538,0.0009538
9,885.129,0.39041,0.86707,1,0.32773,0.0009472,0.0009472,0.0009472
10,982.636,0.38287,0.86823,1,0.32118,0.0009406,0.0009406,0.0009406
11,1080.01,0.38295,0.8744,0.99983,0.29915,0.000934,0.000934,0.000934
12,1178.42,0.37752,0.87839,1,0.29084,0.0009274,0.0009274,0.0009274
13,1276.65,0.37136,0.8764,0.99983,0.29163,0.0009208,0.0009208,0.0009208
14,1379.67,0.37554,0.87856,0.99983,0.29153,0.0009142,0.0009142,0.0009142
15,1480.37,0.36682,0.87939,0.99983,0.29061,0.0009076,0.0009076,0.0009076
16,1578.67,0.37102,0.88139,1,0.27981,0.000901,0.000901,0.000901
17,1676.64,0.36608,0.88306,1,0.27758,0.0008944,0.0008944,0.0008944
18,1774.82,0.36439,0.88422,1,0.27925,0.0008878,0.0008878,0.0008878
19,1872.69,0.36754,0.88422,0.99983,0.2761,0.0008812,0.0008812,0.0008812
20,1979.95,0.36912,0.88323,0.99983,0.27573,0.0008746,0.0008746,0.0008746
21,2078.4,0.35718,0.88672,1,0.27324,0.000868,0.000868,0.000868
22,2176.1,0.35904,0.88622,1,0.27215,0.0008614,0.0008614,0.0008614
23,2273.22,0.35875,0.88806,1,0.27024,0.0008548,0.0008548,0.0008548
24,2370.47,0.35193,0.88706,1,0.27002,0.0008482,0.0008482,0.0008482
25,2468.11,0.35246,0.89006,1,0.2696,0.0008416,0.0008416,0.0008416
26,2565.14,0.35552,0.89039,1,0.26253,0.000835,0.000835,0.000835
27,2662.48,0.34386,0.89255,1,0.26014,0.0008284,0.0008284,0.0008284
28,2759.63,0.34827,0.89355,1,0.25702,0.0008218,0.0008218,0.0008218
29,2856.76,0.34503,0.89255,0.99983,0.25876,0.0008152,0.0008152,0.0008152
30,2954.22,0.34725,0.89522,0.99983,0.25809,0.0008086,0.0008086,0.0008086
31,3051.6,0.33477,0.89372,0.99983,0.25817,0.000802,0.000802,0.000802
32,3148.37,0.34198,0.89222,0.99983,0.25829,0.0007954,0.0007954,0.0007954
33,3245.13,0.34272,0.89255,0.99983,0.25811,0.0007888,0.0007888,0.0007888
34,3341.52,0.33305,0.89189,0.99983,0.2559,0.0007822,0.0007822,0.0007822
35,3438.05,0.33429,0.89355,0.99983,0.25427,0.0007756,0.0007756,0.0007756
36,3534.44,0.34184,0.89455,1,0.25431,0.000769,0.000769,0.000769
37,3630.61,0.33325,0.89405,1,0.25402,0.0007624,0.0007624,0.0007624
38,3727.04,0.33424,0.89322,1,0.25329,0.0007558,0.0007558,0.0007558
39,3823.55,0.33554,0.89389,1,0.25404,0.0007492,0.0007492,0.0007492
40,3919.82,0.33146,0.89389,0.99983,0.25483,0.0007426,0.0007426,0.0007426
41,4015.82,0.32406,0.89355,0.99983,0.25676,0.000736,0.000736,0.000736
42,4112.18,0.33083,0.89505,0.99983,0.25744,0.0007294,0.0007294,0.0007294
43,4208.07,0.32176,0.89422,1,0.25844,0.0007228,0.0007228,0.0007228
44,4304.47,0.33129,0.89389,1,0.25885,0.0007162,0.0007162,0.0007162
45,4401.15,0.32031,0.89339,1,0.2589,0.0007096,0.0007096,0.0007096
46,4497.85,0.31892,0.89272,1,0.25809,0.000703,0.000703,0.000703
47,4594.09,0.32277,0.89322,1,0.25757,0.0006964,0.0006964,0.0006964
48,4690.43,0.31423,0.89255,1,0.25708,0.0006898,0.0006898,0.0006898
